GEF_ID,Agency,Region,Country,Title,GEF replenishment phase,Status,GEF4 SP list,GEF_ProjectGrant_CALC,CoFinance_CALC,Endorced/Approved Date,Actual date of implementation start,Date_start_CALC,Date_start_year
3174,UNEP,Asia,Afghanistan,"Development of National Biodiversity Strategy and Action Plan (NBSAP), Assessment of Capacity Building Needs for In-situ and Ex-situ Biodiversity Conservation",GEF - 4,Project Completion,,394000,70000,6/22/2010,9/30/2010,9/30/2010,2010
668,UNDP,Asia,Bangladesh,Coastal and Wetland Biodiversity Management at Cox's Bazar and Hakakuki Haor,GEF - 2,Project Completion,,5520000,7080000,1/17/2002,5/3/2002,5/3/2002,2002
1209,World Bank,Asia,Bangladesh,Rural Electrification and Renewable Energy Development,GEF - 2,Project Completion,,8200000,25470000,5/29/2002,12/31/2002,12/31/2002,2002
2533,UNDP,Asia,Bangladesh,National Capacity Self Assessment for Global Environmental Management,GEF - 3,Project Completion,,197500,28500,11/12/2004,12/29/2005,12/29/2005,2005
1234,World Bank,AFR,Benin,Community-based Coastal and Marine Biodiversity Management Project,GEF - 3,Project Completion,,4300000,7300000,1/3/2008,10/14/2008,10/14/2008,2008
4474,GEFSEC,AFR,Benin,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,30000,0,3/11/2011,,12/17/2010,2010
2667,UNDP,Asia,Bhutan,Community Micro Hydro for Sustainable Livelihood,GEF - 3,Project Completion,,520000,545000,5/13/2005,8/12/2005,8/12/2005,2005
3219,UNDP,Asia,Bhutan,Reducing Climate Change-induced Risks and Vulnerabilities from Glacial Lake Outbursts in the Punakha-Wangdi and Chamkhar Valleys,GEF - 4,Project Completion,,3445050,4036224,3/6/2008,4/8/2008,4/8/2008,2008
274,UNDP,AFR,Burkina Faso,Enabling Burkina Faso to Prepare its First National Communication in Response to its Commitments to UNFCCC,GEF - 1,Project Completion,,233810,0,12/4/1997,1/27/1998,1/27/1998,1998
876,World Bank,AFR,Burkina Faso,Partnership for Natural Ecosystem Management Program (PAGEN),GEF - 2,Project Completion,,7500000,5960000,5/2/2002,4/29/2003,4/29/2003,2003
4420,GEFSEC,AFR,Burkina Faso,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,29864,0,,,11/15/2010,2010
1865,UNDP,AFR,Burundi,National Capacity Needs Assessment for Global Environment Management (NCSA),GEF - 3,Project Completion,,200000,50000,6/4/2004,4/19/2005,4/19/2005,2005
3701,AfDB,AFR,Burundi,Enhancing Climate Risk Management and Adaptation in Burundi (ECRAMB),GEF - 5,Project Completion,,3080000,15660000,3/7/2013,,11/30/2010,2010
272,UNDP,Asia,Cambodia,Enabling Cambodia to Prepare its First National Communication in Response to its Commitments to UNFCCC,GEF - 1,Project Completion,,325480,0,3/20/1997,8/24/1998,8/24/1998,1998
621,World Bank,Asia,Cambodia,Biodiversity and Protected Area Management Pilot Project for the Virachey National Park,GEF - 2,Project Completion,,2750000,2160000,12/17/1999,3/7/2000,3/7/2000,2000
946,World Bank,Asia,Cambodia,Rural Electrification and Transmission,GEF - 2,Project Completion,,5750000,10500000,12/5/2003,3/29/2005,3/29/2005,2005
1043,UNDP,Asia,Cambodia,Establishing Conservation Areas Landscape Management (CALM) in the Northern Plains,GEF - 3,Project Completion,,2300000,2665517,9/12/2005,12/7/2005,12/7/2005,2005
1086,UNDP,Asia,Cambodia,Developing an Integrated Protected Area System for the Cardamom Mountains,GEF - 2,Project Completion,,998143,3333980,11/12/2001,7/18/2002,7/18/2002,2002
1183,UNDP/ADB,Asia,Cambodia,Tonle Sap Conservation Project,GEF - 3,Project Completion,,3246420,15536030,4/19/2004,7/2/2004,7/2/2004,2004
3404,UNDP,Asia,Cambodia,Promoting Climate-Resilient Water Management and Agricultural Practices ,GEF - 4,Project Completion,,1850000,2240350,4/2/2009,9/1/2009,9/1/2009,2009
4428,GEFSEC,Asia,Cambodia,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,29700,0,1/27/2011,,12/17/2010,2010
1063,World Bank,AFR,Cameroon,Forest and Environment Development Policy Grant (FEDPG),GEF - 3,Project Completion,,10000000,116532850,1/6/2006,9/18/2006,9/18/2006,2006
1976,UNEP,AFR,Cameroon,National Capacity Self-Assessment (NCSA) for Global Environmental Management,GEF - 3,Project Completion,,200000,20000,4/7/2003,9/15/2003,9/15/2003,2003
4518,GEFSEC,AFR,Cameroon,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,30000,0,6/27/2011,6/27/2011,6/27/2011,2011
4607,GEFSEC,AFR,Cameroon,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,,4/25/2011,2011
4608,GEFSEC,AFR,Cameroon,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,,4/25/2011,2011
2005,UNDP,AFR,Chad,National Capacity Needs Self-Assessment (NCSA) for Global Environmental Management,GEF - 3,Project Completion,,200000,50000,8/25/2005,2/13/2006,2/13/2006,2006
4547,GEFSEC,AFR,Chad,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,8/14/2011,8/14/2011,2011
201,UNDP,AFR,Comoros,"National Biodiversity Strategy, Action Plan and Country Report to the CoP",GEF - 1,Project Completion,,131700,0,5/28/1997,6/7/1997,6/7/1997,1997
1740,UNDP,AFR,Comoros,National Capacity Self-Assessment (NCSA) for Global Environmental Management,GEF - 3,Project Completion,,200000,40000,8/4/2005,1/5/2006,1/5/2006,2006
2192,UNEP,AFR,Comoros,Expedited Financing for (Interim) Measures for Capacity Building in Priority Areas (Phase II),GEF - 3,Project Completion,,100000,0,8/19/2003,1/29/2004,1/29/2004,2004
248,UNDP,AFR,Congo DR,Rehabilitation of Protected Areas in the Democratic Republic of the Congo,GEF - 1,Project Completion,,5917000,12719352,7/31/2003,1/6/2004,1/6/2004,2004
4435,GEFSEC,AFR,Congo DR,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,26720,0,4/26/2011,,12/27/2010,2010
4656,GEFSEC,AFR,Congo DR,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,5/10/2011,5/10/2011,2011
3533,World Bank,AFR,Cote d'Ivoire,"Protected Area Project (Projet d'Appui a la Relance de la Conservation des Parcs et Reserves, PARC-CI)",GEF - 4,Project Completion,BD-3;,2540000,12989000,3/16/2009,1/15/2010,1/15/2010,2010
2191,UNEP,AFR,Djibouti,National Adaptation Programme of Action,GEF - 3,Project Completion,,200000,0,8/11/2003,,12:00:00 AM,1900
1686,World Bank,AFR,Ethiopia,Renewable Energy Project,GEF - 3,Project Completion,,4930000,10400000,4/27/2005,4/9/2003,4/9/2003,2003
1811,UNDP,AFR,Ethiopia,Climate Change Enabling Activity (additional financing for capacity building in priority areas),GEF - 3,Project Completion,,100000,0,10/7/1996,7/1/1998,7/1/1998,1998
3154,UNDP,AFR,Ethiopia,Coping with Drought and ClimateChange,GEF - 3,Project Completion,,995000,1866667,5/27/2006,3/27/2009,3/27/2009,2009
1067,World Bank,AFR,Gambia,Integrated Coastal and Marine Biodiversity Management,GEF - 2,Project Completion,,960104,789000,11/9/2001,9/1/2002,9/1/2002,2002
2050,UNEP,AFR,Gambia,National Adaptation Programme of Action,GEF - 3,Project Completion,,198100,0,7/25/2003,,12:00:00 AM,1900
4436,GEFSEC,AFR,Gambia,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,30000,0,1/31/2011,,1/17/2011,2011
4654,GEFSEC,AFR,Gambia,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,5/20/2011,5/20/2011,2011
136,World Bank,AFR,Ghana,Natural Resource Management,GEF - 1,Project Completion,,8700000,53500000,5/11/1998,6/9/1999,6/9/1999,1999
777,World Bank,AFR,Ghana,Northern Savanna Biodiversity Conservation (NSBC) Project,GEF - 2,Project Completion,,7600000,20200000,2/15/2002,9/23/2002,9/23/2002,2002
4430,GEFSEC,AFR,Ghana,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,30000,0,5/31/2011,,12/16/2010,2010
8,World Bank,AFR,Guinea,Rural Energy,GEF - 2,Project Completion,,2000000,15000000,9/19/2001,6/27/2003,6/27/2003,2003
1273,World Bank,AFR,Guinea,Coastal Marine and Biodiversity Management,GEF - 3,Project Completion,,5000000,18530000,5/23/2006,7/20/2007,7/20/2007,2007
1761,UNDP,AFR,Guinea,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),GEF - 2,Project Completion,,100000,0,5/19/1997,2/9/1998,2/9/1998,1998
4537,GEFSEC,AFR,Guinea,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,,12/1/2010,2010
275,UNDP,AFR,Guinea-Bissau,Enabling Guinea-Bissau to Formulate its initial national communication to the UNFCCC,GEF - 1,Project Completion,,345600,0,6/5/1997,2/8/2001,2/8/2001,2001
1221,World Bank,AFR,Guinea-Bissau,Coastal and Biodiversity Management Project,GEF - 3,Project Completion,,4800000,6310000,6/4/2004,3/14/2005,3/14/2005,2005
2213,UNDP,AFR,Guinea-Bissau,National Capacity Self-Assessment (NCSA) for Global Environment Management,GEF - 4,Project Completion,SGP-1;,200000,50000,2/12/2008,7/22/2008,7/22/2008,2008
4548,GEFSEC,AFR,Guinea-Bissau,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,,5/20/2011,2011
1938,UNEP,LAC,Haiti,National Capacity Self-Assessment (NCSA) for Global Environment Management,GEF - 3,Project Completion,,185000,45000,1/26/2006,12/5/2006,12/5/2006,2006
4219,World Bank/IADB,LAC,Haiti,"Emergency program for solar power generation and lighting for Haiti, as a consequence of the Earthquake in Port au Prince.",GEF - 4,Project Completion,CC-3;,1000000,2000000,1/28/2010,6/25/2010,6/25/2010,2010
1744,UNDP,Asia,Kiribati,Assessment of Capacity Building Needs and Country-specific Priorities in Biodiversity Including Clearing House Mechanism (add on),GEF - 3,Project Completion,,198000,31088.8,8/20/2002,4/30/2003,4/30/2003,2003
2061,UNDP,Asia,Kiribati,National Capacity Self-Assessment for Global Environment Management (NCSA),GEF - 3,Project Completion,,200000,25000,6/30/2005,11/2/2005,11/2/2005,2005
2543,World Bank,Asia,Kiribati,Kiribati Adaptation Program  - Pilot Implementation Phase (KAP-II),GEF - 3,Project Completion,,1800000,4800000,5/1/2006,12/15/2005,12/15/2005,2005
1836,World Bank,Asia,Lao PDR,Integrated Ecosystem and Wildlife Management Project in Bolikhamxay Province,GEF - 3,Project Completion,,974025,613575,1/28/2005,4/14/2005,4/14/2005,2005
2366,World Bank,Asia,Lao PDR,Southern Provinces Rural Electrification II Program,GEF - 3,Project Completion,,3750000,32410000,8/10/2005,8/30/2006,8/30/2006,2006
1245,UNDP,AFR,Lesotho,Renewable Energy-based Rural Electrification,GEF - 3,Project Completion,,2500000,4255500,9/25/2006,10/30/2006,10/30/2006,2006
1933,UNDP,AFR,Lesotho,National Capacity Self-Assessment (NCSA) for Global Environmental Management,GEF - 3,Project Completion,,200000,10000,3/3/2004,10/6/2005,10/6/2005,2005
1475,World Bank,AFR,Liberia,Establishing the Basis for Biodiversity Conservation on Sapo National Park and in South-East Liberia,GEF - 3,Project Completion,,975000,1439000,11/12/2004,9/23/2005,9/23/2005,2005
2414,UNEP,AFR,Liberia,Preparation of a National Adaptation Plan of Action (NAPA),GEF - 3,Project Completion,,200000,27000,12/22/2003,,12:00:00 AM,1900
3284,World Bank,AFR,Liberia,Consolidation of Liberia's Protected Area Network,GEF - 4,Project Completion,BD-1;,750000,6630000,3/24/2008,7/11/2008,7/11/2008,2008
3413,UNDP,AFR,Liberia,Capacity Needs Assessment for the Implementation of Liberia's National Biodiversity Strategy and Action Plan and Country Driven CHM Support,GEF - 4,Project Completion,CB-2;,194000,19000,8/6/2008,2/4/2009,2/4/2009,2009
1884,World Bank/UNDP,AFR,Madagascar,Third Environment Programme,GEF - 3,Project Completion,,13500000,135400000,3/8/2004,7/12/2006,7/12/2006,2006
1929,UNDP,AFR,Madagascar,Participatory Community-based Conservation in the Anjozorobe Forest Corridor,GEF - 3,Project Completion,,975000,570000,5/21/2003,2/26/2004,2/26/2004,2004
297,UNDP,AFR,Malawi,Enabling Malawi to Prepare its First National Communication in Response to its Commitments to UNFCCC,GEF - 1,Project Completion,,193640,0,3/18/1997,5/22/1998,5/22/1998,1998
640,World Bank,AFR,Malawi,Mulanje Mountain Biodiversity Conservation Project,GEF - 2,Project Completion,,6750000,1270000,2/12/2001,8/15/2001,8/15/2001,2001
311,UNDP,AFR,Mali,Preparation of the First National Communication in response to the provisions of the UNFCCCC,GEF - 1,Project Completion,,94760,20000,7/16/1997,1/5/1998,1/5/1998,1998
1253,World Bank,AFR,Mali,Gourma Biodiversity Conservation Project,GEF - 2,Project Completion,,5500000,3580000,7/19/2004,9/9/2005,9/9/2005,2005
1274,World Bank,AFR,Mali,Household Energy and Universal Rural Access Project,GEF - 3,Project Completion,,3500000,49850000,9/26/2003,5/7/2004,5/7/2004,2004
1507,UNDP,AFR,Mali,Capacity Needs Assessment for the Implementation of Mali's National Biodiversity Strategy and Country Driven Clearing House Mechanism Project (add on),GEF - 2,Project Completion,,184500,0,2/20/1997,7/2/1997,7/2/1997,1997
4429,GEFSEC,AFR,Mali,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,29996,0,1/31/2011,,11/15/2010,2010
1887,UNEP,AFR,Mauritania,Climate Change Expedited Financing for (interim) Measures for Capacity Building in Priority Areas (Phase II),GEF - 3,Project Completion,,100000,0,12/11/2002,1/27/2003,1/27/2003,2003
1972,UNDP,AFR,Mauritania,National Capacity Needs Self-Assessment (NCSA) for Global Environmental Management,GEF - 3,Project Completion,,200000,25000,9/19/2005,12/13/2005,12/13/2005,2005
4472,GEFSEC,AFR,Mauritania,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,28840,0,3/15/2011,,3/25/2011,2011
648,World Bank,AFR,Mozambique,Coastal and Marine Biodiversity Management Project,GEF - 2,Project Completion,,3730000,6400000,4/10/2000,1/25/2001,1/25/2001,2001
2198,UNEP,AFR,Mozambique,National Capacity Self-Assessment (NCSA),GEF - 3,Project Completion,,185500,25200,5/25/2004,7/20/2004,7/20/2004,2004
3155,UNDP,AFR,Mozambique,Coping with Drought and Climate Change,GEF - 3,Project Completion,,960000,929840,8/31/2007,6/26/2008,6/26/2008,2008
3768,UNEP,AFR,Mozambique,"Development of the National Clearing House Mechanism- and Capacity Assessment for ABS and Taxonomy (previously titled "" Updating of the NBSAP, Development of the NCHM""",GEF - 4,Project Completion,CB-2;,175200,20000,6/21/2010,9/30/2010,9/30/2010,2010
4542,GEFSEC,AFR,Mozambique,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,,5/27/2011,2011
3407,UNEP,Asia,Myanmar,Development of the National Biodiversity Strategy and Action Plan (NBSAP),GEF - 4,Project Completion,,200000,50000,3/6/2008,,12:00:00 AM,1900
1107,UNDP,Asia,Nepal,Landscape Level Biodiversity Conservation in Nepal's Western Terai Complex,GEF - 3,Project Completion,,3312278,9559155,3/8/2004,8/31/2005,8/31/2005,2005
1217,UNDP,Asia,Nepal,Conservation and Sustainable Use of Wetlands,GEF - 3,Project Completion,,1964895,2097075,5/18/2006,3/14/2007,3/14/2007,2007
2222,UNDP,Asia,Nepal,National Capacity Self-Assessment (NCSA) for Global Environment Management,GEF - 3,Project Completion,,200000,10000,1/10/2005,10/6/2005,10/6/2005,2005
3412,UNDP,Asia,Nepal,National Adaptation Programme of Action to Climate Change,GEF - 4,Project Completion,,200000,60000,1/23/2008,11/14/2008,11/14/2008,2008
3916,UNDP,AFR,Niger,Implementing NAPA Priority Interventions to Build Resilience and Adaptive Capacity of the Agriculture Sector to Climate Change ,GEF - 4,Project Completion,,3500000,10950000,8/10/2009,8/25/2009,8/25/2009,2009
4438,GEFSEC,AFR,Niger,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,29967,0,2/7/2011,,1/24/2011,2011
4530,GEFSEC,AFR,Niger,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,,,1/24/2011,2011
265,UNDP,AFR,Nigeria,Enabling Activities for the Implementation of Convention on Climate Change (UNFCCC),GEF - 1,Project Completion,,259560,0,3/18/1997,9/22/1997,9/22/1997,1997
942,World Bank,AFR,Nigeria,Local Empowerment and Environmental Management Project - Micro Watershed and Environmental Management Project,GEF - 2,Project Completion,,8000000,82980000,8/30/2002,4/30/2004,4/30/2004,2004
1984,World Bank,AFR,Nigeria,National Capacity Needs Self-Assessment (NCSA) for Environmental Management,GEF - 3,Project Completion,,200000,25000,3/28/2003,,12:00:00 AM,1900
2828,World Bank,AFR,Nigeria,Rural Electrification and Renewable Energy Development,GEF - 3,Project Completion,,1000000,9000000,6/22/2005,9/16/2005,9/16/2005,2005
4439,GEFSEC,AFR,Nigeria,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,30000,0,2/8/2011,,1/21/2011,2011
1104,UNDP,AFR,Rwanda,Conservation of the Montane Forest Protected Area System in Rwanda,GEF - 3,Project Completion,,5450000,7980000,7/25/2006,8/23/2006,8/23/2006,2006
4540,GEFSEC,AFR,Rwanda,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,6/17/2011,,5/27/2011,2011
921,World Bank,AFR,Senegal,Electricity Services for Rural Areas Project,GEF - 2,Project Completion,,5000000,66700000,8/20/2004,6/30/2005,6/30/2005,2005
1189,World Bank,AFR,Senegal,Integrated Marine and Coastal Resource Management,GEF - 3,Project Completion,,5000000,11490000,10/8/2004,4/15/2005,4/15/2005,2005
2226,UNDP,AFR,Senegal,National Capacity Self-Assessment (NCSA) for Global Environment Management,GEF - 4,Project Completion,SGP-1;,200000,50000,2/12/2008,10/22/2009,10/22/2009,2009
4502,GEFSEC,AFR,Senegal,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,0,0,5/6/2011,3/31/2011,3/31/2011,2011
244,UNDP,AFR,Sudan,"National Biodiversity Strategies, Action Plan, and the Report to the CBD",GEF - 1,Project Completion,,334000,0,5/11/2001,2/21/2002,2/21/2002,2002
780,UNDP,AFR,Tanzania,Development of Mnazi Bay Marine Park,GEF - 2,Project Completion,,1495424,2073800,1/3/2002,10/6/2005,10/6/2005,2005
1170,World Bank/UNDP,AFR,Tanzania,Conservation and Management of the Eastern Arc Mountain Forests,GEF - 2,Project Completion,,12000000,33300000,4/17/2003,9/20/2003,9/20/2003,2003
1491,World Bank/IFC,AFR,Tanzania,Lalkisale Biodiversity Conservation Support Project,GEF - 3,Project Completion,,450000,410000,7/14/2003,9/24/2006,9/24/2006,2006
1734,UNDP,AFR,Tanzania,The Development and Management of the Selous-Niassa Wildlife Corridor,GEF - 3,Project Completion,,986500,1060000,5/24/2004,3/15/2005,3/15/2005,2005
2151,World Bank,AFR,Tanzania,Novel Forms of Livestock & Wildlife Integration Adjacent to Protected Areas in Africa,GEF - 3,Project Completion,,880000,1256000,1/7/2004,3/15/2005,3/15/2005,2005
2832,UNDP,AFR,Tanzania,Mainstreaming Climate Change in Integrated Water Resources Management in Pangani River Basin,GEF - 3,Project Completion,,1000000,1574875,2/7/2006,8/15/2007,8/15/2007,2007
4473,GEFSEC,AFR,Tanzania,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,29699,0,3/17/2011,3/25/2011,3/25/2011,2011
3464,UNDP,Asia,Timor Leste,National Adaptation Programme of Action to Climate Change (NAPA) Formulation Project,GEF - 4,Project Completion,,200000,20000,10/30/2007,2/27/2008,2/27/2008,2008
303,UNDP,AFR,Togo,Enabling Togo to Prepare its initial National Communication in Response to its Commitments to the UNFCCC,GEF - 1,Project Completion,,338040,15000,9/18/1997,4/10/1998,4/10/1998,1998
4471,GEFSEC,AFR,Togo,GEF National Portfolio Formulation Document,GEF - 5,Project Completion,,30000,0,3/23/2011,,3/25/2011,2011
3463,UNDP,Asia,Tuvalu,"National Biodiversity Strategy Action Plan, First and Third National Reports to the COP and CHM",GEF - 4,Project Completion,,232000,10000,3/12/2008,7/15/2008,7/15/2008,2008
332,UNDP,AFR,Uganda,Enabling Uganda to Prepare its First National Communication in Response to its Commitments to UNFCCC,GEF - 1,Project Completion,,83430,10000,7/30/1996,12/17/1997,12/17/1997,1997
1175,UNDP,AFR,Uganda,Conservation of Biodiversity in the Albertine Rift Forest Areas of Uganda,GEF - 3,Project Completion,,3395000,7953189,12/20/2006,5/8/2007,5/8/2007,2007
1830,World Bank,AFR,Uganda,Protected Areas Management and Sustainable Use (PAMSU),GEF - 1,Project Completion,,8000000,30000000,5/2/2002,12/4/2002,12/4/2002,2002
1837,UNDP,AFR,Uganda,Extending Wetland protected Areas through Community Based Conservation Initiatives,GEF - 4,Project Completion,,800000,3033250,3/5/2008,6/3/2008,6/3/2008,2008
3854,UNEP,AFR,Uganda,"Development of a National Clearing House Mechanism and Capacity Assessment for Taxonomy and Indigenous Knowledge(Add-on) (New title as of March 19, 2009)",GEF - 4,Project Completion,,300000,42000,6/21/2010,9/30/2010,9/30/2010,2010
1682,UNDP,Asia,Vanuatu,Facilitating and Strengthening the Conservation Initiatives of Traditional Landholders and their Communities to Achieve Biodiversity Conservation Objectives,GEF - 3,Project Completion,,745910,709933,3/10/2004,2/24/2005,2/24/2005,2005
1743,UNDP,Asia,Yemen,National Capacity Self-Assessment (NCSA) for Global Environment Management,GEF - 3,Project Completion,,200000,25000,12/31/2003,11/28/2004,11/28/2004,2004
2649,World Bank,Asia,Yemen,Rural Electrification and Renewable Energy Development,GEF - 3,Project Completion,,999232,1001643,12/22/2004,2/21/2005,2/21/2005,2005
233,UNDP,AFR,Zambia,"National Biodiversity Strategies, Action Plan, and Country Report to the COP",GEF - 1,Project Completion,,289440,0,8/3/2005,1/13/2006,1/13/2006,2006
969,World Bank,AFR,Zambia,Securing the Environment for Economic Development (SEED),GEF - 3,Project Completion,,4000000,28150000,6/21/2004,8/16/2004,8/16/2004,2004
1268,UNDP,AFR,Zambia,Effective Management of the National Protected Areas System,GEF - 3,Project Completion,,6000000,35168000,8/3/2005,8/30/2005,8/30/2005,2005
1358,UNEP,AFR,Zambia,Renewable Energy-based Electricity Generation for Isolated Mini-grids,GEF - 3,Project Completion,,2950000,4556000,11/16/2005,5/1/2006,5/1/2006,2006
3767,FAO,LAC,Brazil,SFM Strengthening National Policy and Knowledge Frameworks in Support of Sustainable Management of Brazil's Forest Resources,,,," 8,850,000 "," 56,667,042 ",3-Nov-10,,3-Nov-10,2010
5324,FAO,LAC,Brazil,Reversing Desertification Process in Susceptible Areas of Brazil: Sustainable Agroforestry Practices and Biodiversity Conservation (REDESER),,,," 3,930,155 "," 15,766,666 ",9-May-16,,9-May-16,2016
9448,Funbio,LAC,Brazil,Brazil - LULUCF Monitoring System,,,," 6,713,761 "," 40,000,000 ",,,0-Jan-00,1900
4834,IADB,LAC,Brazil,Recovery and Protection of Climate and Biodiversity Services in the Southeast Atlantic Forest Corridor of Brazil,,,," 31,505,960 "," 187,819,043 ",5-Jun-14,,5-Jun-14,2014
4859,IADB,LAC,Brazil,"Conservation, Restoration and Sustainable Management Strategies to Enhance Caatinga, Pampa and Pantanal Biodiversity – GEF Terrestre",,,," 32,621,820 "," 159,154,672 ",9-Aug-17,,9-Aug-17,2017
834,UNDP,LAC,Brazil,Promoting Biodiversity Conservation and Sustainble Use in the Frontier Forests of Northwestern Mato Grosso,,,," 6,704,000 "," 9,049,119 ",28-Mar-01,,28-Mar-01,2001
1343,UNDP,LAC,Brazil,"Demonstrations of Integrated Ecosystem and Watershed Management in the Caatinga, Phase I",,,," 4,000,000 "," 22,324,262 ",9-Jan-04,,9-Jan-04,2004
2703,UNDP,LAC,Brazil,Effective Conservation and Sustainable Use of Mangrove Ecosystems in Brazil,,,," 5,000,000 "," 22,684,000 ",,,0-Jan-00,1900
2934,UNDP,LAC,Brazil,SFM Catalyzing the Contribution of Indigenous Lands to the Conservation of Brazil's Forest Ecosystems,,,," 6,000,000 "," 30,742,665 ",5-Aug-09,,5-Aug-09,2009
1895,UNEP,Global,"Global (Brazil, Cameroon, Mexico)",Improved Certification Schemes for Sustainable Tropical Forest Management,,,," 962,000 "," 467,000 ",,,0-Jan-00,1900
3722,UNEP,LAC,Brazil,Improving Brazilian Capacity to Conserve and Use B through Information Management and Use,,,," 8,172,727 "," 4,700,000 ",,,0-Jan-00,1900
9413,UNEP,LAC,Brazil,Realizing the Biodiversity Conservation Potential of Private Lands ,,,," 8,953,425 "," 33,892,917 ",,,0-Jan-00,1900
9415,UNEP,LAC,Brazil,Supporting the compliance to the forest code and the implementation of the Brazilian restoration agenda: designing incentives to end environmental debt in Brazil,,,," 9,388,128 "," 36,500,000 ",,,0-Jan-00,1900
771,World Bank,LAC,Brazil,Amazon Region Protected Areas Program (ARPA),,,," 30,000,000 "," 78,110,000 ",24-Feb-03,,24-Feb-03,2003
1287,World Bank,LAC,Brazil,Parana B Project,,,," 8,000,000 "," 1,062,731 ",9-Sep-09,,9-Sep-09,2009
2356,World Bank,LAC,Brazil,Ecosystem Restoration of Riparian Forests in Sao Paulo,,,," 7,750,000 "," 11,770,000 ",1-Jun-05,,1-Jun-05,2005
